sse,vr
0x141873AB8,0x141915DD8
0x141873B50,0x141915E70
0x141873B68,0x141915E88
0x141873B38,0x141915E58
0x1418BDCA0,0x141960AE0
0x1418BDCB8,0x141960AF8
0x1418BDC88,0x141960AC8
0x1418928F0,0x141934C90
0x141892908,0x141934CA8
0x1418928D8,0x141934C78
0x141892970,0x141934D10
0x141892988,0x141934D28
0x141892958,0x141934CF8
0x141892870,0x141934C10
0x141892888,0x141934C28
0x141892858,0x141934BF8
0x1418C7218,0x14196A5E8
0x1418C7230,0x14196A600
0x1418C7200,0x14196A5D0
0x1418C5A00,0x141968DC8
0x1418C5A18,0x141968DE0
0x1418C59E8,0x141968DB0
0x141873960,0x141915C80
0x1418739B8,0x141915CD8
0x141873940,0x141915C68
0x1418C9838,0x14196CC08
0x1418C9850,0x14196CC20
0x1418C9820,0x14196CBF0
0x141918F40,0x1419BCC48
0x141918F58,0x1419BCC60
0x141918F28,0x1419BCC30
0x1418BD790,0x14195FAD0
0x1418BD7A8,0x14195FAE8
0x1418BD778,0x14195FAB8
0x14194BF90,0x1419EF7E0
0x14194BFA8,0x1419EF7F8
0x14194BF78,0x1419EF7C8
0x14193CBC8,0x1419E0418
0x14193CBE0,0x1419E0430
0x14193CBB0,0x1419E0400
0x1418958D8,0x141937C78
0x1418958F8,0x141937C98
0x1418958C0,0x141937C60
0x1418959E0,0x141937D80
0x141895A00,0x141937DA0
0x1418959C8,0x141937D68
0x1418955D8,0x141937978
0x1418955F8,0x141937998
0x1418955C0,0x141937960
0x1418C3208,0x1419664D8
0x1418C3220,0x1419664F0
0x1418C31F0,0x1419664C0
0x141923EA0,0x1419C78B0
0x141923EC0,0x1419C78D0
0x141923E88,0x1419C7898
0x141892A70,0x141934E10
0x141892A88,0x141934E28
0x141892A58,0x141934DF8
0x141897170,0x141939510
0x141897188,0x141939528
0x141897158,0x1419394F8
0x141924020,0x1419C7A30
0x141924038,0x1419C7A48
0x141924008,0x1419C7A18
0x141923FA0,0x1419C79B0
0x141923FB8,0x1419C79C8
0x141923F88,0x1419C7998
0x141924120,0x1419C7B30
0x141924138,0x1419C7B48
0x141924108,0x1419C7B18
0x1419240A0,0x1419C7AB0
0x1419240B8,0x1419C7AC8
0x141924088,0x1419C7A98
0x1418C5780,0x141968B48
0x1418C5798,0x141968B60
0x1418C5768,0x141968B30
0x141973870,0x141A17BD0
0x141973888,0x141A17BE8
0x141973858,0x141A17BB8
0x141969D40,0x141A0E0A0
0x141969D58,0x141A0E0B8
0x141969D28,0x141A0E088
0x1419244A0,0x1419C7F30
0x1419244B8,0x1419C7F48
0x141924488,0x1419C7F18
0x141919698,0x1419BD420
0x1419196B8,0x1419BD440
0x141919680,0x1419BD408
0x1418974A0,0x141939840
0x1418974C0,0x141939860
0x141897488,0x141939828
0x1418C97B0,0x14196CB80
0x1418C97D0,0x14196CBA0
0x1418C9798,0x14196CB68
0x14191B020,0x1419BEC18
0x14191B030,0x1419BEC28
0x14191B008,0x1419BEC00
0x1418BBE78,0x14195DFB8
0x1418BBE90,0x14195DFD0
0x1418BBE60,0x14195DFA0
0x1418C90E0,0x14196C4B0
0x1418C90F8,0x14196C4C8
0x1418C90C8,0x14196C498
0x141919720,0x1419BD4A8
0x141919738,0x1419BD4C0
0x141919708,0x1419BD490
0x1418B8188,0x14195A4A8
0x1418B81A0,0x14195A4C0
0x1418B8170,0x14195A490
0x141943CD8,0x1419E7528
0x141943CF0,0x1419E7540
0x141943CC0,0x1419E7510
0x141992D08,0x141A33E30
0x141992D20,0x141A33E48
0x141992CF0,0x141A33E18
0x14188CB80,0x14192EF20
0x14188CB98,0x14192EF38
0x14188CB68,0x14192EF08
0x141898580,0x14193A920
0x1418985A0,0x14193A940
0x141898568,0x14193A908
0x141924A28,0x1419C84B8
0x141924A40,0x1419C84D0
0x141924A10,0x1419C84A0
0x1419241A0,0x1419C7BB0
0x1419241B8,0x1419C7BC8
0x141924188,0x1419C7B98
0x1418C5B00,0x141968EC8
0x1418C5B18,0x141968EE0
0x1418C5AE8,0x141968EB0
0x1418C9160,0x14196C530
0x1418C9178,0x14196C548
0x1418C9148,0x14196C518
0x14187FC98,0x141922038
0x14187FCB0,0x141922050
0x14187FC80,0x141922020
0x1418BDD20,0x141960B60
0x1418BDD38,0x141960B78
0x1418BDD08,0x141960B48
0x14188B528,0x14192D8C8
0x14188B540,0x14192D8E0
0x14188B510,0x14192D8B0
0x1418C9AD8,0x14196CEA8
0x1418C9AF0,0x14196CEC0
0x1418C9AC0,0x14196CE90
0x14191B098,0x1419BEC90
0x14191B0A8,0x1419BECA0
0x14191B080,0x1419BEC78
0x141992E18,0x141A33F40
0x141992E48,0x141A33F70
0x141992E00,0x141A33F28
0x1418C3188,0x141966458
0x1418C31A0,0x141966470
0x1418C3170,0x141966440
0x1418C5800,0x141968BC8
0x1418C5818,0x141968BE0
0x1418C57E8,0x141968BB0
0x1418C5880,0x141968C48
0x1418C5898,0x141968C60
0x1418C5868,0x141968C30
0x14194FB80,0x1419F3898
0x14194FB98,0x1419F38B0
0x14194FB68,0x1419F3880
0x141959DC8,0x1419FDB08
0x141959DE0,0x1419FDB20
0x141959DB0,0x1419FDAF0
0x141892AF0,0x141934E90
0x141892B08,0x141934EA8
0x141892AD8,0x141934E78
0x141645310,0x1416BDD90
0x1417DCA40,0x14188CFE0
0x1417DC890,0x14188CE30
0x1417DC8A0,0x14188CE40
0x141536BD8,0x1415AE018
0x1417EBE28,0x14189C3F8
0x1417EBE38,0x14189C408
0x141580AB0,0x1415F8830
0x14158F808,0x141607F78
0x14158F898,0x141608028
0x14158F9E0,0x1416081D8
0x14158FD98,0x141608570
0x141615CE0,0x14168CA80
0x1417B47D0,0x1418649E0
0x1417186E8,0x1417A0B18
0x14171A8D0,0x1417A2D00
0x14171C740,0x1417A4B70
0x1416F9220,0x141781678
0x14172E330,0x1417B6760
0x141749490,0x1417D18F0
0x1417236B0,0x1417ABAD8
0x141733E68,0x1417BC298
0x141734990,0x1417BCDC0
0x141723E90,0x1417AC2B8
0x14174F6E8,0x1417D7B48
0x14174FC68,0x1417D80D0
0x14174FD18,0x1417D8180
0x14174FEF0,0x1417D8358
0x14174F990,0x1417D7DF8
0x141622E68,0x141699CB0
0x141637048,0x1416AE9A8
0x1415F76F8,0x14166E448
0x141579120,0x1415F0F18
0x14157A490,0x1415F2288
0x14157A098,0x1415F1E90
0x14157A010,0x1415F1E08
0x141579F98,0x1415F1D90
0x1415FBE58,0x141672BA8
0x141664C60,0x1416E5BC0
0x1416F9870,0x141781CC8
0x1415A8208,0x14161F3A8
0x1417E1020,0x1418915E0
0x1417EB6A8,0x14189BC70
0x1417DD230,0x14188D7F0
0x1417DD210,0x14188D7D0
0x1417DD1E0,0x14188D7A0
0x1416C86D0,0x141750C50
0x141842188,0x1418E47D8
0x1417EF708,0x14189FCD0
0x1417EDE70,0x14189E440
0x1416487A8,0x1416C1948
